Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,70100.000000,71000.000000,69782.703125,70150.000000,68388.039063,31401
2016-10-19,71950.000000,72850.000000,71700.000000,72200.000000,70386.546875,42976
2016-10-20,72200.000000,72200.000000,68046.796875,71750.000000,69947.843750,19020
2016-10-21,70250.000000,70400.000000,69300.000000,69300.000000,67559.375000,40183
2016-10-24,70550.000000,70800.000000,69800.000000,69800.000000,68046.828125,14577
2016-10-25,69900.000000,70427.000000,69500.000000,69500.000000,67754.359375,56696
2016-10-26,68700.000000,69050.000000,67450.000000,67600.000000,65902.070313,35534
2016-10-27,68600.000000,69200.000000,68450.000000,68700.000000,66974.445313,46388
2016-10-28,70300.000000,70550.000000,69850.000000,70350.000000,68583.007813,32456
2016-10-31,71200.000000,71307.000000,70550.000000,70550.000000,68777.992188,12383
2016-11-01,72100.000000,72200.000000,71500.000000,71600.000000,69801.609375,21890
2016-11-02,71100.000000,71582.296875,69950.000000,70500.000000,68729.242188,32664
2016-11-03,70550.000000,70877.203125,70000.000000,70000.000000,68241.804688,17859
2016-11-04,70950.000000,71141.203125,70100.000000,70350.000000,68583.007813,15862
2016-11-07,71400.000000,71950.000000,70350.000000,71800.000000,69996.593750,25355
2016-11-08,71850.000000,72050.000000,71500.000000,71600.000000,69801.609375,18101
2016-11-09,69300.000000,70850.000000,69300.000000,69800.000000,68046.828125,41177
2016-11-10,71350.000000,71750.000000,70000.000000,70000.000000,68241.804688,12412
2016-11-11,68700.000000,68750.000000,67300.000000,67800.000000,66097.054688,33988
2016-11-14,65900.000000,66200.000000,65100.000000,66000.000000,64342.265625,28547
2016-11-15,65450.000000,66450.000000,65400.000000,66350.000000,64683.476563,16908
2016-11-16,66400.000000,67050.000000,65800.000000,67000.000000,65317.148438,14276
2016-11-17,66500.000000,67600.000000,66450.000000,67600.000000,65902.070313,18201
2016-11-18,67350.000000,67800.000000,67000.000000,67600.000000,65902.070313,8549
2016-11-21,67000.000000,67800.000000,66850.000000,67500.000000,65804.593750,11045
2016-11-22,69600.000000,69750.000000,69200.000000,69400.000000,67656.867188,17261
2016-11-23,69800.000000,70500.000000,69400.000000,69750.000000,67998.085938,13951
2016-11-24,69850.000000,69950.000000,69500.000000,69500.000000,67754.359375,4034
2016-11-25,69900.000000,70150.000000,69700.000000,69900.000000,68144.312500,6014
2016-11-28,71500.000000,72000.000000,70850.000000,70950.000000,69167.937500,28104
2016-11-29,71550.000000,71700.000000,70950.000000,71300.000000,69509.148438,11833
2016-11-30,74000.000000,74150.000000,71532.296875,73350.000000,71507.656250,43747
2016-12-01,74600.000000,74630.296875,73950.000000,74350.000000,72482.539063,24675
2016-12-02,73300.000000,73550.000000,72900.000000,73150.000000,71312.687500,52224
2016-12-05,73000.000000,73800.000000,73000.000000,73450.000000,71605.148438,27797
2016-12-06,74300.000000,74800.000000,74000.000000,74100.000000,72238.820313,49081
2016-12-07,75450.000000,76100.000000,75300.000000,76000.000000,74091.093750,29668
2016-12-08,76500.000000,76700.000000,76300.000000,76700.000000,74773.515625,28479
2016-12-09,75800.000000,76150.000000,74900.000000,75400.000000,73506.171875,23978
2016-12-12,74550.000000,74850.000000,74350.000000,74700.000000,72823.757813,17684
2016-12-13,75400.000000,75900.000000,74700.000000,75900.000000,73993.609375,17616
2016-12-14,75700.000000,76050.000000,75550.000000,75650.000000,73749.882813,19753
2016-12-15,74800.000000,74800.000000,73850.000000,74300.000000,72433.789063,17665
2016-12-16,75150.000000,75250.000000,74450.000000,74450.000000,72580.023438,27113
2016-12-19,75500.000000,75700.000000,74900.000000,75050.000000,73164.953125,18051
2016-12-20,75700.000000,76250.000000,75500.000000,76250.000000,74334.812500,10187
2016-12-21,75550.000000,76250.000000,75000.000000,75450.000000,73554.914063,22871
2016-12-22,75050.000000,75500.000000,74650.000000,74800.000000,72921.242188,25788
2016-12-23,74849.796875,74849.796875,74849.796875,74849.796875,72969.789063,0
2016-12-28,74849.796875,74849.796875,74849.796875,74849.796875,72969.789063,0
2016-12-29,74849.796875,74849.796875,74849.796875,74849.796875,74170.671875,0
2016-12-30,74849.796875,74849.796875,74849.796875,74849.796875,74170.671875,0
