엘리비젼,276240,영상 및 음향기기 제조업,2018-07-05,12
지앤이헬스케어,299480,기타 섬유제품 제조업,2018-06-29,12
이리츠코크렙,088260,부동산 임대 및 공급업,2018-06-27,6
EDGC,245620,자연과학 및 공학 연구개발업,2018-06-26,12
에스엠비나,299670,봉제의복 제조업,2018-06-25,12
HDC현대산업개발,294870,건물 건설업,2018-06-12,12
하나금융11호스팩,284620,금융 지원 서비스업,2018-06-08,12
파워넷,037030,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2018-06-07,12
현대사료,016790,동물용 사료 및 조제식품 제조업,2018-06-01,12
세종메디칼,258830,의료용 기기 제조업,2018-05-29,12
제노레이,122310,의료용 기기 제조업,2018-05-28,12
디피코,163430,건축기술| 엔지니어링 및 관련 기술 서비스업,2018-05-16,12
한국제7호스팩,291210,금융 지원 서비스업,2018-05-11,12
다이노나,086080,자연과학 및 공학 연구개발업,2018-05-08,12
유안타제3호스팩,287410,금융 지원 서비스업,2018-05-08,12
에스제이켐,217910,기초 화학물질 제조업,2018-04-27,12
JTC,950170,종합 소매업,2018-04-06,2
네오셈,253590,특수 목적용 기계 제조업,2018-04-04,12
케어랩스,263700,소프트웨어 개발 및 공급업,2018-03-28,12
애경산업,018250,기타 화학제품 제조업,2018-03-22,12
에코마이스터,064510,특수 목적용 기계 제조업,2018-03-15,12
린드먼아시아,277070,신탁업 및 집합투자업,2018-03-14,12
오스테오닉,226400,의료용 기기 제조업,2018-02-22,12
엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업,2018-02-21,12
동구바이오제약,006620,의약품 제조업,2018-02-13,12
아시아종묘,154030,작물 재배업,2018-02-12,9
알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,2018-02-12,12
셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업,2018-02-09,12
카페24,042000,자료처리| 호스팅| 포털 및 기타 인터넷 정보매개 서비스업,2018-02-08,12
링크제니시스,219420,소프트웨어 개발 및 공급업,2018-02-05,12
배럴,267790,봉제의복 제조업,2018-02-01,12
SG,255220,기타 비금속 광물제품 제조업,2018-01-26,12
씨앤지하이테크,264660,특수 목적용 기계 제조업,2018-01-25,12
쿠쿠홈시스,284740,개인 및 가정용품 임대업,2018-01-11,12
SK케미칼,285130,합성고무 및 플라스틱 물질 제조업,2018-01-05,12
시스웍,269620,측정| 시험| 항해| 제어 및 기타 정밀기기 제조업; 광학기기 제외,2017-12-26,12
TS트릴리온,284610,기타 화학제품 제조업,2017-12-22,12
라이프사이언스테크놀로지,285770,소프트웨어 개발 및 공급업,2017-12-21,12
한국제6호스팩,281410,금융 지원 서비스업,2017-12-21,12
디바이스이엔지,187870,특수 목적용 기계 제조업,2017-12-20,12
바이오시네틱스,281310,자연과학 및 공학 연구개발업,2017-12-15,12
씨알푸드,236030,곡물가공품| 전분 및 전분제품 제조업,2017-12-14,12
레이크머티리얼즈,281740,기타 화학제품 제조업,2017-12-12,12
휴럼,284420,기타 식품 제조업,2017-12-12,12
BGF리테일,282330,종합 소매업,2017-12-08,12
동양피스톤,092780,자동차용 엔진 및 자동차 제조업,2017-12-08,12
진에어,272450,항공 여객 운송업,2017-12-08,12
씨티케이코스메틱스,260930,기타 화학제품 제조업,2017-12-07,12
메카로,241770,기타 화학제품 제조업,2017-12-06,12
에스트래픽,234300,컴퓨터 프로그래밍| 시스템 통합 및 관리업,2017-12-05,12
케이씨텍,281820,측정| 시험| 항해| 제어 및 기타 정밀기기 제조업; 광학기기 제외,2017-12-05,12
체리부로,066360,도축| 육류 가공 및 저장 처리업,2017-12-04,12
대원,007680,건물 건설업,2017-12-01,12
비즈니스온,138580,소프트웨어 개발 및 공급업,2017-11-30,12
동아타이어,282690,고무제품 제조업,2017-11-29,12
삼양패키징,272550,플라스틱제품 제조업,2017-11-29,12
한화에이스스팩4호,279410,금융 지원 서비스업,2017-11-27,12
스튜디오드래곤,253450,영화| 비디오물| 방송프로그램 제작 및 배급업,2017-11-24,12
IBKS제7호스팩,276920,금융 지원 서비스업,2017-11-10,12
비디아이,148140,일반 목적용 기계 제조업,2017-11-09,12
코오롱티슈진,950160,기초 의약물질 및 생물학적 제제 제조업,2017-11-06,12
